date,open,high,low,close,volume
2024-01-02,64.18,64.18,61.77,61.84,113928
2024-01-03,61.81,62.27,61.21,62.03,84486
2024-01-04,62.42,62.53,61.34,61.98,89870
2024-01-05,61.8,63.48,61.35,61.87,112402
2024-01-08,61.91,62.2,60.69,60.78,81078
2024-01-09,61.31,62.98,61.04,61.93,112187
2024-01-10,61.54,62.08,60.84,61.07,71416
2024-01-11,61.04,63.88,60.58,63.24,159862
2024-01-12,63.24,63.73,62.74,62.93,87023
2024-01-15,62.55,63.31,61.78,62.51,70220
2024-01-16,62.28,63.16,62.0,62.74,83809
2024-01-17,62.38,62.49,59.91,59.91,160795
2024-01-18,59.53,61.31,59.28,61.14,114592
2024-01-19,60.81,61.96,60.54,60.76,80905
2024-01-22,60.6,61.41,59.16,59.42,132240
2024-01-23,59.31,60.63,59.08,60.26,110726
2024-01-24,60.74,60.93,59.0,60.54,96641
2024-01-25,60.6,61.28,59.53,60.94,130769
2024-01-26,60.64,60.64,59.48,59.6,115855
2024-01-29,59.61,59.64,57.08,57.12,146043
2024-01-30,55.34,56.14,54.41,54.97,190761
2024-01-31,54.67,56.07,54.42,54.55,125368
2024-02-01,54.31,55.31,53.76,54.61,116651
2024-02-02,54.63,54.94,51.98,53.31,147992
2024-02-05,52.64,54.9,51.9,53.64,186216
2024-02-06,52.98,56.35,52.81,56.27,176190
2024-02-07,56.73,58.64,56.34,57.5,160094
2024-02-08,58.14,58.76,57.88,58.03,119246
2024-02-19,58.94,59.43,58.26,58.81,119687
2024-02-20,58.81,58.87,56.64,57.32,113357
2024-02-21,56.68,59.51,56.53,58.64,147693
2024-02-22,58.61,58.86,58.06,58.64,80906
2024-02-23,58.64,58.97,57.92,58.54,91175
2024-02-26,59.64,61.02,59.49,59.64,155461
2024-02-27,60.13,62.29,60.04,62.21,206343
2024-02-28,62.98,63.15,60.31,60.31,168292
2024-02-29,59.98,61.51,59.71,61.38,122363
2024-03-01,61.28,61.97,60.57,61.7,122158
2024-03-04,60.98,61.54,60.34,60.73,126865
2024-03-05,60.14,61.53,59.48,61.25,149624
2024-03-06,60.98,61.97,60.64,61.53,100100
2024-03-07,61.66,62.3,60.58,60.61,101327
2024-03-08,60.41,61.03,60.06,60.34,67150
2024-03-11,60.31,64.28,60.31,63.89,278080
2024-03-12,64.64,66.53,63.57,66.01,245029
2024-03-13,66.62,67.78,66.25,66.43,177813
2024-03-14,67.12,69.43,67.12,68.34,211352
2024-03-15,67.64,68.1,66.37,67.47,146628
2024-03-18,68.26,70.39,68.18,70.32,196982
2024-03-19,70.32,70.93,69.11,69.91,146973
