date,open,high,low,close,volume
2024-01-02,371.085,373.109,364.049,368.116,25447513.79121
2024-01-03,366.272,370.485,365.775,367.85,23256080.166192
2024-01-04,367.915,370.33,364.445,365.209,21057800.729042
2024-01-05,366.232,369.298,363.78,365.02,21161644.495607
2024-01-08,366.558,372.415,366.272,371.909,23306959.813617
2024-01-09,369.248,373.199,368.436,373.0,20985716.694873
2024-01-10,373.576,381.319,373.526,379.929,25705037.224691
2024-01-11,383.135,387.781,377.556,381.776,28059111.024808
2024-01-12,382.628,385.795,381.795,385.587,21823132.300984
2024-01-16,390.738,391.106,384.745,387.374,27405683.042396
2024-01-17,385.101,387.215,381.953,386.579,22400371.784382
2024-01-18,388.813,391.066,387.225,390.946,23566990.859518
2024-01-19,392.823,395.711,390.58,395.711,29550470.442001
2024-01-22,397.051,397.647,390.668,393.566,27218930.899419
2024-01-23,392.814,396.416,391.006,395.939,20679371.891256
2024-01-24,398.559,402.619,397.477,399.572,25052904.858821
2024-01-25,401.319,403.989,399.541,401.865,21178348.478703
2024-01-26,401.369,403.155,399.443,400.931,17936401.558277
2024-01-29,403.045,406.936,401.329,406.68,24693520.375224
2024-01-30,409.2,409.985,403.433,405.558,33727951.238365
2024-01-31,403.939,412.237,394.262,394.628,48229070.872832
2024-02-01,398.848,404.972,398.818,400.783,30886980.510471
2024-02-02,400.813,409.586,400.565,408.168,28467969.7242
2024-02-05,406.857,408.108,400.991,402.639,25541867.116233
2024-02-06,402.868,404.942,399.92,402.48,18520086.885091
2024-02-07,404.417,411.224,404.377,410.977,22507585.564424
2024-02-08,410.977,412.475,409.468,411.037,21383976.727065
2024-02-09,412.169,417.697,412.009,417.428,22197602.758217
2024-02-12,417.433,417.617,411.672,412.178,21361473.701346
2024-02-13,401.934,407.027,400.396,403.305,28033007.273178
2024-02-14,405.79,407.55,402.31,407.203,20515808.617931
2024-02-15,405.86,406.844,402.031,404.289,21948145.862367
2024-02-16,405.68,406.009,401.186,401.803,22421761.881079
2024-02-20,400.987,402.231,395.786,400.54,24444482.505233
2024-02-21,397.934,400.043,395.001,399.933,18735745.684388
2024-02-22,407.898,410.524,406.287,409.351,27161616.709583
2024-02-23,413.348,413.536,406.686,408.047,16387433.028414
2024-02-26,409.156,409.858,405.084,405.263,16284483.867534
2024-02-27,405.71,406.039,401.594,405.203,14919178.117587
2024-02-28,405.895,407.013,403.055,405.442,13257190.85437
2024-02-29,406.357,411.886,403.652,411.329,32126750.134414
2024-03-01,408.972,413.546,408.584,413.179,17923581.248555
2024-03-04,411.13,415.018,410.017,412.602,17694814.162582
2024-03-05,411.648,411.935,398.402,400.401,27070415.180889
2024-03-06,400.718,402.897,396.165,399.844,22469683.612305
2024-03-07,403.852,407.49,399.993,406.854,18823643.75719
2024-03-08,405.68,408.127,402.071,403.95,18103326.456956
2024-03-11,401.506,403.414,399.018,402.261,16211322.124304
2024-03-12,405.343,413.249,404.517,412.959,22583171.652256
2024-03-13,415.764,415.844,409.151,412.782,17212092.27078
2024-03-14,417.892,425.43,415.654,422.844,34349202.629329
2024-03-15,416.947,420.239,410.484,414.093,45333172.352342
2024-03-18,411.935,418.379,411.468,414.989,20218937.042815
