model,strategies,parse_pct,schema_pct,exec_pct,determ_pct,anti_leak_pct,audit_pct
GPT-5.2,12/12,100.0,100.0,100.0,100.0,100.0,100.0
Grok-4 Fast,12/12,100.0,100.0,100.0,100.0,100.0,91.7
GPT-5.1,12/12,100.0,100.0,100.0,100.0,100.0,100.0
o3,12/12,100.0,100.0,100.0,100.0,100.0,100.0
GLM-4.6,12/12,100.0,100.0,91.7,91.7,100.0,91.7
DeepSeek-V3,12/12,100.0,100.0,91.7,91.7,100.0,91.7
Grok-4.1 FR,11/12,91.7,91.7,91.7,91.7,91.7,83.3
Grok-3,12/12,100.0,100.0,83.3,83.3,100.0,83.3
Grok-Code Fast,12/12,100.0,100.0,83.3,83.3,100.0,83.3
Claude Sonnet,12/12,100.0,91.7,91.7,91.7,91.7,83.3
Claude Opus,12/12,100.0,91.7,83.3,83.3,83.3,75.0
Gemini-3 Pro,12/12,100.0,83.3,75.0,75.0,83.3,66.7
GLM-4.7,7/12,58.3,58.3,58.3,58.3,58.3,50.0
Grok-4,3/12,25.0,25.0,25.0,25.0,25.0,25.0
Gemini-3 Flash,6/12,50.0,41.7,41.7,41.7,41.7,33.3
Gemini-2.5 Pro,12/12,100.0,66.7,50.0,41.7,50.0,33.3
DeepSeek-R1,1/12,8.3,8.3,8.3,8.3,8.3,8.3
